module,backend endpoint,HTTP method,existing API wrapper,web page,web route,mobile screen,mobile route,permission,implementation status,E2E status,notes
auth,/auth/login,POST,apps/web/src/auth (inline),LoginPage,/login,LoginScreen,Login,public,WIRED,NONE,Staff web + mobile login share Nest auth
auth,/auth/refresh|logout|logout-all|me,POST|GET,apps/web/src/auth,SettingsPage,/settings,N/A,N/A,authenticated,WIRED,NONE,Session bootstrap; mobile uses same client
auth,/auth/bootstrap-admin|forgot-password|reset-password,POST,N/A,N/A,N/A,N/A,N/A,public,N/A,NONE,Ops/bootstrap only; no product UI
health,/health|/health/operations,GET,apps/web/src/company-admin/api.ts (health),SystemHealthPage,/administration/system-health,N/A,N/A,audit.view,WIRED,NONE,Version/ops health panel
version,/version,GET,apps/web/src/company-admin/api.ts,SystemHealthPage,/administration/system-health,N/A,N/A,audit.view,WIRED,NONE,Build metadata on system health page
rbac,/rbac/me/permissions,GET,apps/web/src/auth + rbac-admin/api.ts,All guarded routes,N/A,N/A,N/A,authenticated,WIRED,SMOKE,Permission catalog drives RegistryRouteGuard
rbac,/rbac/roles CRUD + permissions + clone,GET|POST|PATCH,apps/web/src/rbac-admin/api.ts,RolesPage|RoleDetailPage|RoleCreatePage|RoleEditPage,/administration/roles*,N/A,N/A,role.view|role.create|role.update,WIRED,NONE,Full role admin wired in remediation
rbac,/rbac/users/:userId/roles,POST,apps/web/src/user-admin/api.ts,UserDetailPage,/users/:userId,N/A,N/A,user.update,WIRED,NONE,Role assignment from user admin
users,/users CRUD + activate/deactivate/reset-password/projects,GET|POST|PATCH|DELETE,apps/web/src/user-admin/api.ts,UsersPage|UserDetailPage|UserCreatePage|UserEditPage,/users*,N/A,N/A,user.view|user.create|user.update,WIRED,NONE,Project assignment on user detail
company,/companies/primary|:id + statutory/capital/logo/history,GET|PATCH|POST,apps/web/src/company-admin/api.ts,CompanyOverviewPage|CompanySettingsPage,/administration/company*,N/A,N/A,company.view,WIRED,NONE,Company profile + settings
projects,/projects CRUD + status/documents/PM/directors,GET|POST|PATCH,apps/web/src/projects/api.ts,ProjectsPage|ProjectDetailPage|ProjectCreatePage|ProjectEditPage|ProjectDocumentsPage|ProjectSettingsPage,/projects*,ProjectsScreen,Tabs>Projects,project.view|project.create|project.update,WIRED,SMOKE,Web list/create/detail/edit wired; mobile project picker only
project-access,/project-access/me|assignments|check/*,GET|POST|PATCH,apps/web/src/projects/api.ts (access helpers),ProjectAccessPage,/projects/:projectId/access,N/A,N/A,project_access.view,WIRED,NONE,Assignment admin on project access page
project-dashboard,/projects/:projectId/dashboard,GET,apps/web/src/director-command-centre/projectDashboardApi.ts,ProjectDashboardPage|SiteOperationsDashboardPage,/projects/dashboard|/dashboard/site,N/A,N/A,dashboard.view,WIRED,NONE,Per-project KPI dashboard
director-command-centre,/director-command-centre/summary,GET,apps/web/src/director-command-centre/api.ts,DirectorCommandCentrePage,/dashboard/director,N/A,N/A,dashboard.view,WIRED,NONE,Executive summary dashboard
finance-dashboard,/finance-dashboard/summary|export,GET,apps/web/src/finance-dashboard/api.ts,FinanceDashboardPage,/dashboard/finance,N/A,N/A,dashboard.view,WIRED,NONE,Finance overview + export
purchase-dashboard,/purchase-requests + purchase-orders aggregates,GET,apps/web/src/purchase-dashboard/api.ts,PurchaseDashboardPage,/dashboard/purchase,N/A,N/A,dashboard.view,WIRED,NONE,Composed from procurement APIs
notifications,/notifications list/read/read-all/preferences/push-tokens,GET|PATCH|POST|PUT|DELETE,apps/web/src/notifications/api.ts,NotificationsPage,/notifications,NotificationsScreen|NotificationPreferencesScreen,Notifications|NotificationPreferences,notification.view,WIRED,NONE,Web inbox; mobile list + prefs
approvals,/projects/:projectId/approvals CRUD workflow,GET|POST,apps/web/src/approvals/api.ts,ApprovalsPage|ApprovalDetailPage,/approvals*,ApprovalsListScreen|ApprovalDetailScreen,ApprovalsList|ApprovalDetail,approval.view,WIRED,SMOKE,Unified approval inbox web + mobile
approvals,/approval-workflows/:module/:entityType,GET|PUT,apps/web/src/approvals/api.ts,N/A (settings TBD),N/A,N/A,N/A,approval.manage,UNWIRED,NONE,Workflow config API exists; no admin UI route
documents,/documents presign/confirm/download/replace/archive/list,GET|POST,apps/web/src/company-admin/api.ts + feature modules,DocumentsPage|ProjectDocumentsPage,/documents|/projects/:projectId/documents,N/A,N/A,document.view,PARTIAL,NONE,Global + project docs; upload embedded in entity pages
audit-log,/audit-logs,GET,apps/web/src/company-admin/api.ts,AuditLogsPage,/administration/audit-logs,N/A,N/A,audit.view,WIRED,NONE,Searchable audit log viewer
dpr,/daily-progress-reports CRUD + submit/review/reopen/pdf,GET|POST|PATCH,apps/web/src/dpr/api.ts,DprListPage|DprDetailPage,/project-control/dpr*,DprListScreen|DprDetailScreen|DailyProgressReportScreen,DprList|DprDetail|DailyProgressReport,dpr.view|dpr.create,WIRED,NONE,Web list/detail; mobile list/detail/capture
boq,/boq/projects/:projectId/* hierarchy versions items import export,GET|POST|PATCH,apps/web/src/boq/api.ts,BoqPage|BoqVersionsPage|BoqImportPage|BoqItemEditorPage,/project-control/boq*,N/A,N/A,boq.view|boq.manage,WIRED,NONE,Full BOQ admin on web; no mobile BOQ
work-measurements,/work-measurements CRUD + submit/verify/reject/cancel,GET|POST|PATCH,apps/web/src/work-measurements/api.ts,WorkMeasurementsPage,/project-control/work-measurements,WorkMeasurementListScreen|WorkMeasurementFormScreen,WorkMeasurementList|WorkMeasurementForm,measurement.view|measurement.create,WIRED,NONE,Web table UI; mobile capture workflow
material-consumption-standards,/material-consumption-standards CRUD + workflow,GET|POST|PATCH,apps/web/src/material-coefficients/api.ts,MaterialCoefficientsPage,/project-control/material-coefficients,N/A,N/A,material_consumption.view|manage,WIRED,NONE,Material coefficient standards
material-consumption,/material-consumption-reports preview/list/detail/workflow,GET|POST|PATCH,apps/web/src/material-variance/api.ts,MaterialVariancePage,/project-control/material-variance,N/A,N/A,material_consumption.view,WIRED,NONE,Variance reports; preview endpoint used in UI
cost-forecast,/accounting-reports/project-cost-sheet,GET,apps/web/src/cost-forecast/api.ts,CostForecastPage,/project-control/cost-forecast,N/A,N/A,report.view|dashboard.view,WIRED,NONE,Uses accounting-reports backend
vendors,/vendors CRUD + verify/activate/block/projects/ledger/documents,GET|POST|PATCH,apps/web/src/vendors/api.ts,VendorsPage|VendorDetailPage,/procurement/vendors*,N/A,N/A,vendor.view,WIRED,NONE,Vendor master + ledger panel on detail
contractors,/contractors CRUD + verify/activate/block/projects/performance/documents,GET|POST|PATCH,apps/web/src/contractors/api.ts,ContractorsPage,/contractors,N/A,N/A,contractor.view,WIRED,NONE,Contractor master list (no detail route yet)
contractor-agreements,/contractor-agreements CRUD + workflow + expiry alerts,GET|POST|PATCH,apps/web/src/contractor-agreements/api.ts,ContractorAgreementsPage|ContractorAgreementDetailPage,/contractors/agreements*,N/A,N/A,contractor_agreement.view,WIRED,NONE,Agreement lifecycle wired
contractor-bills,/contractor-bills CRUD + claim/certify/post/paid workflow,GET|POST|PATCH,apps/web/src/running-bills/api.ts,RunningBillsPage|RunningBillDetailPage|RunningBillCreatePage,/contractors/running-bills*,N/A,N/A,running_bill.view|running_bill.create,WIRED,NONE,Running bills UI maps to contractor-bills API
contractor-payments,/contractor-payments CRUD + submit/approve/release/post,GET|POST|PATCH,apps/web/src/contractor-payments/api.ts,ContractorPaymentsPage,/contractors/payments,N/A,N/A,payment.view,WIRED,NONE,Contractor payment runs
labour-categories,/labour-categories CRUD + rates/seed/resolve,GET|POST|PATCH,apps/web/src/labour-categories/api.ts,LabourCategoriesPage,/contractors/labour-categories,N/A,N/A,labour_category.view,WIRED,NONE,Rate tables for labour
labour-attendance,/labour-attendance CRUD + submit/confirm/daily-report,GET|POST|PATCH,apps/web/src/labour-attendance/api.ts,LabourAttendancePage,/contractors/attendance,LabourAttendanceListScreen|LabourAttendanceFormScreen|LabourAttendanceDetailScreen,LabourAttendanceList|LabourAttendanceForm|LabourAttendanceDetail,attendance.view|attendance.create,WIRED,NONE,Web + mobile attendance
manpower-planning,/manpower-planning/plans CRUD + compare,GET|POST|PATCH,N/A,N/A,N/A,N/A,N/A,manpower_plan.view,IN_PROGRESS,NONE,Parallel agent: plans UI not present; compare used indirectly
manpower-planning,/manpower-planning/shortfall-alerts + evaluate/acknowledge,GET|POST,apps/web/src/manpower-shortfall/api.ts,ManpowerShortfallPage,/contractors/manpower-shortfall,N/A,N/A,manpower_shortfall.view,WIRED,NONE,Shortfall alerts wired; compare panel partial
purchase-requests,/purchase-requests CRUD + sourcing workflow,GET|POST|PATCH,apps/web/src/purchase-requests/api.ts,PurchaseRequestsPage|PurchaseRequestDetailPage|PurchaseRequestCreatePage,/procurement/purchase-requests*,PurchaseRequestListScreen|PurchaseRequestFormScreen|PurchaseRequestDetailScreen,PurchaseRequestList|PurchaseRequestForm|PurchaseRequestDetail,purchase.view|purchase.request,WIRED,GOLDEN,Golden-path procurement covers PR
purchase-orders,/purchase-orders CRUD + approval/receive/close/pdf,GET|POST|PATCH,apps/web/src/purchase-orders/api.ts,PurchaseOrdersPage|PurchaseOrderDetailPage|PurchaseOrderCreatePage,/procurement/purchase-orders*,N/A,N/A,purchase.view|purchase.order,WIRED,GOLDEN,PO workflow on web
vendor-quotations,/vendor-quotations CRUD + compare/submit/revise,GET|POST|PATCH,apps/web/src/quotations/api.ts,QuotationsPage,/procurement/quotations,N/A,N/A,quotation.view,WIRED,GOLDEN,Vendor quotation list
quotation-comparisons,/quotation-comparisons generate/list/recommend/approve/export,GET|POST,apps/web/src/quotation-comparisons/api.ts,QuotationComparisonPage,/procurement/quotation-comparisons/:prId,N/A,N/A,quotation.compare,WIRED,GOLDEN,Comparison from PR context
vendor-invoices,/vendor-invoices CRUD + match/approve/post/paid,GET|POST|PATCH,apps/web/src/vendor-invoices/api.ts,VendorInvoicesPage|VendorInvoiceMatchPage,/procurement/vendor-invoices*,N/A,N/A,vendor_invoice.view,WIRED,GOLDEN,Three-way match page wired
vendor-payments,/vendor-payments CRUD + release/post workflow,GET|POST|PATCH,apps/web/src/vendor-payments/api.ts,VendorPaymentsPage,/procurement/vendor-payments,N/A,N/A,payment.view,WIRED,NONE,Vendor payment batch UI
materials,/materials CRUD,GET|POST|PATCH,apps/web/src/materials/api.ts,MaterialsPage|MaterialDetailPage,/inventory/materials*,N/A,N/A,material.view,WIRED,NONE,Material master
stock-ledger,/stock-ledger balance/list/create/reverse,GET|POST,apps/web/src/stock-ledger/api.ts,StockLedgerPage|StockBalancesPage,/inventory/stock-ledger|/inventory/stock-balances,StockLedgerScreen,StockLedger,stock.view,WIRED,NONE,Balances derived from ledger API
stock-counts,/stock-counts CRUD + submit/review/approve/post,GET|POST|PATCH,apps/web/src/stock-counts/api.ts,StockCountsPage|StockCountDetailPage,/inventory/stock-counts*,StockCountListScreen|StockCountEntryScreen,StockCountList|StockCountEntry,stock.view,WIRED,NONE,Web + mobile stock count
goods-receipts,/goods-receipts CRUD + quality/accept/post workflow,GET|POST|PATCH,apps/web/src/grns/api.ts,GrnsPage|GrnDetailPage,/inventory/grns*,GoodsReceiptScreen,GoodsReceipt,grn.create,WIRED,NONE,Web GRN admin; mobile capture GRN
quality-inspections,/quality-inspections CRUD + complete/cancel/vendor-score,GET|POST|PATCH,apps/web/src/quality-inspections/api.ts,QualityInspectionsPage|QualityInspectionDetailPage,/inventory/quality-inspections*,QualityInspectionListScreen,QualityInspectionList,quality.view,WIRED,NONE,Web detail; mobile list only
material-issues,/material-issues list/get/returns workflow,GET|POST,apps/web/src/material-issues/api.ts,MaterialIssuesPage|MaterialIssueDetailPage,/inventory/material-issues*,MaterialIssueScreen|MaterialReturnScreen,MaterialIssue|MaterialReturn,stock.view|stock.issue,PARTIAL,NONE,Web full CRUD; mobile list+return only — create IN_PROGRESS
stock-reorder,/stock-reorder alerts|forecast|evaluate,GET|POST,apps/web/src/reorder-alerts/api.ts,ReorderAlertsPage,/inventory/reorder-alerts,N/A,N/A,stock.view,WIRED,NONE,Reorder alert dashboard
customers,/customers CRUD + KYC/documents/ledger panel,GET|POST|PATCH,apps/web/src/customers/api.ts,CustomersPage|CustomerDetailPage,/sales/customers*,N/A,N/A,customer.view,WIRED,NONE,Customer ledger via accounting-reports drill-down
units,/units CRUD + status,GET|POST|PATCH|DELETE,apps/web/src/units/api.ts,UnitsPage|UnitDetailPage,/sales/units*,N/A,N/A,unit.view,WIRED,NONE,Inventory units for sales
bookings,/bookings CRUD + transition/discount/cancel/form,GET|POST|PATCH,apps/web/src/bookings/api.ts,BookingsPage,/sales/bookings,N/A,N/A,booking.view,WIRED,GOLDEN,Booking list; golden-path booking partially blocked on E2E seeds
booking-cancellations,/booking-cancellations CRUD + refund/release workflow,GET|POST,apps/web/src/booking-cancellations/api.ts,CancellationsPage,/sales/cancellations,N/A,N/A,booking.view,WIRED,NONE,Cancellation & refund desk
customer-receipts,/customer-receipts CRUD + post/cancel/pdf,GET|POST,apps/web/src/customer-receipts/api.ts,CollectionsPage|CustomerReceiptsPanel,/sales/collections,N/A,N/A,collection.view|collection.create,WIRED,GOLDEN,Collections page; golden-path notes seed gap
payment-schedules,/payment-schedules generate/list/overdue/workflow/demands,GET|POST,apps/web/src/customer-receipts/api.ts (allocatable only),CommitmentDetailPage (embedded table),/capital/commitments/:commitmentId,N/A,N/A,payment_schedule.view,IN_PROGRESS,GOLDEN,Parallel agent: no standalone schedule admin; read-only lines on commitments + allocation helper
directors,/directors CRUD + documents,GET|POST|PATCH,apps/web/src/directors/api.ts,DirectorsPage|DirectorDetailPage,/capital/directors*,N/A,N/A,director.view,WIRED,NONE,Director registry
directors,/company-shareholding + change-requests,GET|POST,apps/web/src/directors/api.ts,ShareholdingPage,/capital/shareholding,N/A,N/A,shareholding.view,WIRED,NONE,Cap table management
investors,/investors CRUD + KYC/documents,GET|POST|PATCH,apps/web/src/investors/api.ts,InvestorsPage|InvestorDetailPage,/capital/investors*,N/A,N/A,investor.view,WIRED,NONE,Investor CRM (staff)
project-commitments,/projects/:projectId/commitments CRUD + workflow/receipts,GET|POST,apps/web/src/commitments/api.ts,CommitmentsPage|CommitmentDetailPage,/capital/commitments*,N/A,N/A,contribution_commitment.view,WIRED,NONE,Includes embedded payment schedule lines
contribution-receipts,/projects/:projectId/contribution-receipts CRUD + post,GET|POST,apps/web/src/contribution-receipts/api.ts,ContributionReceiptsPage,/capital/contribution-receipts,N/A,N/A,contribution_receipt.view,WIRED,NONE,Capital contribution receipts
funding-dashboard,/accounting-reports/source-and-utilisation-of-funds,GET,apps/web/src/funding-dashboard/api.ts,FundingDashboardPage,/capital/funding-dashboard,N/A,N/A,dashboard.view,WIRED,NONE,Funding utilisation report as dashboard
investor-portal,/investor-portal/me|projects|projects/:id,GET,apps/web/src/investor-portal/api.ts,InvestorDashboardPage|InvestorDocumentsPage|InvestorStatementsPage,/investor/*,N/A,N/A,investor_portal.view,PARTIAL,NONE,Separate /investor/* shell; POST reports/profit-allocations UNWIRED
project-participants,/projects/:projectId/participants CRUD + finalize/workflow,GET|POST|PATCH,apps/web/src/project-participants/api.ts,ProjectParticipantsPage|ProfitSharePage,/projects/participants*|/projects/profit-share*,N/A,N/A,project_participant.view,WIRED,NONE,Participants + profit share entry routes
chart-of-accounts,/accounts tree CRUD + seed/activate/deactivate,GET|POST|PATCH|DELETE,apps/web/src/chart-of-accounts/api.ts,ChartOfAccountsPage|AccountCreatePage|AccountEditPage,/accounting/chart-of-accounts*,N/A,N/A,account.view|account.manage,WIRED,NONE,COA admin
journals,/journals CRUD + submit/post/reverse/cancel,GET|POST|PATCH,apps/web/src/journals/api.ts,JournalsPage|JournalDetailPage|JournalCreatePage,/accounting/journals*,N/A,N/A,journal.view|journal.create,WIRED,NONE,Manual journals
cash-accounts,/cash-accounts CRUD + balance/ledger/custodian/close,GET|POST,apps/web/src/cash-accounts/api.ts,CashAccountsPage,/accounting/cash-accounts,N/A,N/A,cash.view,WIRED,GOLDEN,Petty cash accounts; golden-path petty cash
company-bank-accounts,/company-bank-accounts CRUD + balance/ledger/default,GET|POST|PATCH,apps/web/src/bank-accounts/api.ts,BankAccountsPage|BankAccountDetailPage,/accounting/bank-accounts*,N/A,N/A,bank.view,WIRED,NONE,Bank account master
bank-reconciliation,/bank-reconciliation/sessions full workflow,GET|POST|PATCH,apps/web/src/bank-reconciliation/api.ts,BankReconciliationPage|BankReconciliationDetailPage,/accounting/bank-reconciliation*,N/A,N/A,bank_reconciliation.view,WIRED,NONE,Statement import + match UI
financial-year,/financial-years CRUD + current/lock/unlock-requests,GET|POST,apps/web/src/financial-years/api.ts,FinancialYearsPage|FinancialYearDetailPage|FinancialYearCreatePage,/accounting/financial-years*,N/A,N/A,financial_year.view|financial_year.manage,WIRED,NONE,FY admin wired in remediation
accounting-period-closure,/accounting-period-closure/periods + checklist/lock/close/reopen,GET|POST,apps/web/src/period-close/api.ts,PeriodClosePage,/accounting/period-close,N/A,N/A,period_closure.view,WIRED,NONE,Period closure wizard
expense-categories,/expense-categories tree CRUD + seed/evidence rules,GET|POST|PATCH|DELETE,apps/web/src/expense-categories/api.ts,ExpenseCategoriesPage,/accounting/expense-categories,N/A,N/A,expense_category.view,WIRED,NONE,Site expense category tree
site-expense-vouchers,/site-expense-vouchers CRUD + verify/approve/post workflow,GET|POST|PATCH,apps/web/src/expenses/api.ts,ExpensesPage|ExpenseDetailPage,/accounting/expenses*,SiteExpenseListScreen|SiteExpenseFormScreen|SiteExpenseDetailScreen,SiteExpenseList|SiteExpenseForm|SiteExpenseDetail,expense.view|expense.create,WIRED,NONE,Web + mobile site expenses
petty-cash-requirements,/petty-cash-requirements CRUD + approval/fund/close,GET|POST|PATCH,apps/web/src/petty-cash-requests/api.ts,PettyCashRequestsPage|PettyCashRequestDetailPage|PettyCashRequestCreatePage,/accounting/petty-cash/requests*,PettyCashListScreen|PettyCashFormScreen|PettyCashDetailScreen,PettyCashList|PettyCashForm|PettyCashDetail,petty_cash.view|petty_cash.request,WIRED,GOLDEN,Fund requests web + mobile
petty-cash-fund-transfers,/petty-cash-fund-transfers CRUD + verify/post,GET|POST|PATCH,apps/web/src/petty-cash-transfers/api.ts,PettyCashTransfersPage,/accounting/petty-cash/transfers,N/A,N/A,petty_cash.view,WIRED,GOLDEN,Fund transfer desk
signed-payment-vouchers,/signed-payment-vouchers CRUD + signatures/workflow/post/reverse,GET|POST|PATCH,N/A (web),N/A,N/A,LabourVoucherHistoryScreen|NewLabourVoucherScreen|LabourVoucherDetailScreen,LabourVoucherHistory|NewLabourVoucher|LabourVoucherDetail,payment.view|payment.create,IN_PROGRESS,NONE,Parallel agent: mobile labour vouchers wired; no web signed-voucher desk (print-pdf demo only)
accounting-reports,/accounting-reports (catalogue),GET,apps/web/src/reports/accounting/api.ts (partial),N/A,N/A,N/A,N/A,report.view,IN_PROGRESS,NONE,Parallel agent: no accounting reports hub route; catalogue endpoint unused in nav
accounting-reports,/accounting-reports/cash-book|bank-book,GET,apps/web/src/reports/accounting/api.ts,CashBookPage|BankBookPage,/reports/accounting/cash-book|/reports/accounting/bank-book,N/A,N/A,report.view,WIRED,NONE,Only two report runners registered
accounting-reports,/accounting-reports/trial-balance|general-ledger|journal-register|ledgers|ageing|cash-flow|etc,GET,apps/web/src/export/api.ts + drill-down helpers,N/A (embedded panels),N/A,N/A,N/A,report.view,PARTIAL,NONE,API+export wired; no dedicated hub pages except cost-forecast/funding/customer ledger panels
construction-reports,/construction-reports catalogue + :reportType + export,GET,apps/web/src/reports/construction/api.ts,ConstructionReportsPage,/reports/construction,N/A,N/A,report.view,WIRED,NONE,Construction reports hub added in remediation
daily-director-digest,/director-digest/preview|preview-all|send|run,GET|POST,N/A,N/A,N/A,N/A,N/A,director_digest.manage,IN_PROGRESS,NONE,Parallel agent: backend only; no admin UI for digest preview/send
export,/accounting-reports|construction-reports|purchase-orders|etc /export,GET,apps/web/src/export/api.ts,ExportDialog (feature pages),N/A,N/A,N/A,report.export|entity export,PARTIAL,NONE,Shared export helper used across modules; dev demo at /dev/export
print-pdf,/customer-receipts|purchase-orders|accounting-reports regenerate/export PDF,POST|GET,apps/web/src/print-pdf/api.ts,Entity pages + /dev/print-pdf,/dev/print-pdf,N/A,N/A,varies,PARTIAL,NONE,Production PDF hooks on some entities; demo page for QA
